delegacia,ano,numero,nAutor,nAutorAcaoFugir,nAutorAcaoAbordagem,nQtdeAutor,nAutorArma,nAutorAcaoCoação,nAutorSubtrair,nAutorAcaoAgressao,N° de Similares,data do teste
10102,2019,705,OK,NP,NOK,OK,NP,OK,OK,OK,NOK,73,2019-04-12
10102,2019,705,OK,NP,NOK,OK,NP,OK,OK,OK,NOK,73,2019-04-12
10102,2019,1065,OK,NP,NOK,OK,NOK,OK,OK,NP,OK,23,2019-04-12
10102,2019,1096,OK,NP,NP,NP,NOK,NOK,NP,NP,NOK,186,2019-04-12
10105,2019,670,OK,NP,OK,OK,NP,OK,OK,NP,NOK,741,2019-04-12
10108,2019,760,OK,NP,NOK,OK,NOK,OK,OK,NOK,OK,34,2019-04-12
10108,2019,1079,OK,NP,NOK,OK,NOK,OK,OK,NOK,OK,11,2019-04-12
10211,2019,141,OK,OK,NOK,OK,NOK,OK,OK,NP,NOK,585,2019-04-12
10211,2019,1695,OK,NP,NOK,NP,NP,NP,OK,OK,NP,18,2019-04-12
10216,2019,748,OK,OK,OK,OK,NOK,OK,OK,NP,NOK,157,2019-04-12
10247,2014,8075,OK,NOK,NOK,OK,NOK,NP,OK,NP,NP,438,2019-04-12
10311,2014,900,OK,NOK,OK,NP,NOK,OK,OK,NP,NOK,457,2019-04-12
10337,2014,4791,OK,OK,NOK,NOK,OK,OK,OK,NP,NOK,63,2019-04-12
10362,2014,826,OK,NP,NOK,NP,NOK,OK,OK,NP,NOK,793,2019-04-12
20138,2014,4021,OK,NP,OK,OK,NP,OK,OK,OK,NOK,636,2019-04-12
10366,2019,552,OK,OK,NOK,NP,NOK,OK,OK,NP,NOK,134,2019-04-12
30110,2019,403,NOK,NOK,OK,NP,NOK,OK,OK,NP,NOK,0,2019-04-12
30126,2019,49,OK,OK,NOK,NOK,NP,OK,OK,NP,NOK,42,2019-04-12
30138,2019,411,OK,OK,NOK,NOK,NOK,OK,OK,NP,NOK,185,2019-04-12
30203,2019,816,OK,NP,NOK,OK,NOK,OK,OK,NP,NOK,25,2019-04-12
30206,2019,583,OK,NP,OK,OK,NP,OK,OK,NP,NOK,2061,2019-04-12
30302,2019,552,OK,NP,OK,OK,NOK,OK,OK,NP,NOK,554,2019-04-12
30304,2019,149,OK,OK,OK,OK,NOK,OK,OK,NOK,NOK,20,2019-04-12
30320,2019,76,OK,OK,OK,OK,NOK,OK,OK,NP,NOK,11,2019-04-12
40203,2019,401,OK,NOK,NOK,OK,OK,OK,OK,NOK,NOK,2,2019-04-12
40208,2019,33,OK,NOK,NOK,NP,NOK,OK,OK,NP,NOK,191,2019-04-12
40231,2019,63,OK,OK,OK,NP,NOK,OK,OK,NP,OK,6,2019-04-12
70207,2019,179,OK,OK,NP,NP,OK,NOK,OK,NP,NP,1,2019-04-12
100437,2019,199,OK,NP,NP,NP,NOK,OK,OK,NP,OK,2,2019-04-12
70942,2016,9223,OK,OK,NOK,OK,NP,OK,OK,NP,NOK,36,2019-04-12
10241,2019,376,OK,OK,OK,OK,NOK,OK,OK,NP,NOK,867,2019-04-12
10247,2019,1525,OK,NP,OK,OK,NP,OK,OK,NP,NOK,2248,2019-04-12
10314,2019,24,OK,NP,NP,NP,NOK,OK,OK,NP,NOK,32,2019-04-12
10335,2019,980,OK,NOK,OK,OK,NOK,OK,OK,NP,NOK,48,2019-04-12
10339,2019,247,OK,NP,OK,OK,NOK,OK,OK,NP,NOK,410,2019-04-12
10342,2019,1377,OK,NP,NP,NP,NP,OK,OK,NP,NOK,127,2019-04-12
10351,2019,547,OK,NOK,OK,OK,NOK,OK,OK,NP,NOK,199,2019-04-12
180401,2019,2,OK,OK,NP,NP,NP,OK,OK,NP,NOK,18,2019-04-12
10216,2017,6045,OK,NP,OK,OK,NOK,OK,OK,NP,NOK,6614,2019-04-12
10235,2016,1058,OK,NP,OK,OK,OK,NP,OK,NP,NP,5,2019-04-12
10328,2015,4224,OK,OK,OK,OK,NOK,NOK,OK,NOK,NP,5,2019-04-12
10356,2015,5667,OK,NP,NOK,OK,OK,OK,OK,NP,NOK,42,2019-04-12
10216,2013,15206,NOK,OK,NOK,NOK,NOK,OK,OK,NP,NOK,0,2019-04-12
10235,2013,7897,OK,OK,NOK,NOK,NOK,OK,OK,NP,NOK,63,2019-04-12
